,energy,data,data_err
0,9.7266,6.1678,0.019962
1,9.1523,6.142,0.02033
2,8.6273,6.1577,0.021147
3,8.1462,6.1847,0.021742
4,7.7043,6.1524,0.023449
5,7.2674,6.0872,0.027811
6,6.6114,6.0876,0.064652
7,5.9857,6.1454,0.016953
8,5.4448,6.1615,0.015044
9,4.9741,6.1706,0.015031
10,4.5619,6.1678,0.015217
11,4.1989,6.1569,0.01535
12,3.8776,6.1584,0.01549
13,3.5918,6.1744,0.015712
14,3.3364,6.1403,0.015752
15,3.1074,6.161,0.015998
16,2.9011,6.159,0.016092
17,2.7148,6.1724,0.01626
18,2.5458,6.1487,0.016356
19,2.3921,6.1657,0.016533
20,2.252,6.1435,0.016614
21,2.1238,6.1494,0.0168
22,2.0062,6.1214,0.016892
23,1.8982,6.1525,0.017056
24,1.7986,6.1703,0.017238
25,1.7067,6.1422,0.017294
26,1.6216,6.1564,0.017453
27,1.5428,6.162,0.017607
28,1.4696,6.1467,0.017674
29,1.4014,6.1509,0.017803
30,1.3379,6.1393,0.017922
31,1.2786,6.1345,0.018038
32,1.2232,6.1377,0.018161
33,1.1713,6.1687,0.018389
34,1.1226,6.1513,0.018492
35,1.0769,6.1442,0.01857
36,1.034,6.1519,0.018697
37,0.99353,6.1578,0.018791
38,0.95541,6.1724,0.018891
39,0.91945,6.1687,0.018975
40,0.88548,6.1604,0.019036
41,0.85336,6.16,0.019124
42,0.82296,6.1449,0.019247
43,0.79415,6.1307,0.019274
44,0.76683,6.1437,0.019426
45,0.74089,6.1432,0.019526
46,0.71625,6.1164,0.019543
47,0.69282,6.1678,0.019807
48,0.67052,6.1442,0.019838
49,0.64928,6.15,0.019926
50,0.62903,6.1576,0.020073
51,0.60971,6.1501,0.02011
52,0.59127,6.1456,0.020143
53,0.57366,6.1535,0.020276
54,0.55682,6.127,0.020233
55,0.54071,6.14,0.020412
56,0.52529,6.1463,0.020445
57,0.51052,6.1471,0.020528
58,0.49637,6.1774,0.020652
59,0.48279,6.1017,0.020535
60,0.46977,6.14,0.020675
61,0.45726,6.1972,0.020924
62,0.44525,6.1345,0.020784
63,0.43371,6.1553,0.020934
64,0.42261,6.1566,0.021078
65,0.41192,6.1331,0.021043
66,0.40164,6.1081,0.02109
67,0.39174,6.1396,0.0212
68,0.3822,6.1258,0.021264
69,0.37301,6.1243,0.021432
70,0.36414,6.1688,0.021643
71,0.35559,6.1606,0.021716
72,0.34733,6.142,0.021798
73,0.33936,6.1155,0.021742
74,0.33166,6.111,0.02185
75,0.32422,6.1709,0.022164
76,0.31702,6.1613,0.022256
77,0.31006,6.1514,0.022327
78,0.30333,6.1449,0.02235
79,0.29682,6.1749,0.022584
80,0.29051,6.1541,0.022622
81,0.28441,6.1256,0.022575
82,0.27849,6.1188,0.022656
83,0.27275,6.1061,0.022632
84,0.2672,6.1207,0.022747
85,0.26181,6.1303,0.022836
86,0.25658,6.1496,0.022969
87,0.2515,6.1022,0.022872
88,0.24658,6.1339,0.023051
89,0.2418,6.1475,0.02316
90,0.23715,6.1657,0.02323
91,0.23264,6.1229,0.023088
92,0.22826,6.1428,0.023229
93,0.22399,6.152,0.023265
94,0.21985,6.1459,0.02323
95,0.21582,6.1816,0.023392
96,0.2119,6.1217,0.023185
97,0.20809,6.1498,0.023282
98,0.20438,6.1255,0.02324
99,0.20077,6.1279,0.023313
100,0.19725,6.1398,0.023305
101,0.19382,6.1199,0.023146
102,0.19048,6.1524,0.023304
103,0.18723,6.0991,0.023098
104,0.18406,6.1366,0.023182
105,0.18073,6.1524,0.019633
106,0.17532,6.1252,0.016344
107,0.16964,6.1174,0.016238
