 ,stack,counts,err
1,1,2534879.000,1592.130
2,2,606366.000,778.695
3,3,414140.000,643.537
4,4,288094.000,536.744
5,5,237405.000,487.242
6,6,197871.000,444.827
7,7,177827.000,421.695
8,8,160504.000,400.630
9,9,150526.000,387.977
10,10,143289.000,378.535
11,11,139098.000,372.958
12,12,134825.000,367.185
13,13,128986.000,359.146
14,14,126394.000,355.519
15,15,123702.000,351.713
16,16,122185.000,349.550
17,17,121058.000,347.934
18,18,118526.000,344.276
19,19,116802.000,341.763
20,20,116329.000,341.070
21,21,115032.000,339.164
22,22,113513.000,336.917
23,23,112437.000,335.316
24,24,111989.000,334.648
25,25,111320.000,333.647
26,26,110474.000,332.376
27,27,110451.000,332.342
28,28,108726.000,329.736
29,29,107439.000,327.779
30,30,108605.000,329.553
31,31,108596.000,329.539
32,32,107496.000,327.866
33,33,108131.000,328.833
34,34,106240.000,325.945
35,35,106901.000,326.957
36,36,106662.000,326.591
37,37,106643.000,326.562
38,38,105926.000,325.463
39,39,104768.000,323.679
40,40,105551.000,324.886
41,41,103985.000,322.467
42,42,103515.000,321.737
43,43,105036.000,324.093
44,44,104011.000,322.507
45,45,104279.000,322.923
46,46,104375.000,323.071
47,47,103556.000,321.801
48,48,102890.000,320.765
49,49,104670.000,323.527
50,50,102864.000,320.724
51,51,102467.000,320.105
52,52,102882.000,320.752
53,53,102492.000,320.144
54,54,102316.000,319.869
55,55,101912.000,319.237
56,56,101375.000,318.394
57,57,102378.000,319.966
58,58,102227.000,319.730
59,59,102473.000,320.114
60,60,101199.000,318.118
61,61,102044.000,319.443
62,62,101797.000,319.056
63,63,100955.000,317.734
64,64,101793.000,319.050
65,65,101700.000,318.904
66,66,101291.000,318.262
67,67,101758.000,318.995
68,68,101966.000,319.321
69,69,101626.000,318.788
70,70,101107.000,317.973
71,71,102475.000,320.117
72,72,101344.000,318.346
73,73,101968.000,319.324
74,74,101078.000,317.928
75,75,101250.000,318.198
76,76,100669.000,317.284
77,77,101214.000,318.141
78,78,101208.000,318.132
79,79,100417.000,316.886
80,80,100907.000,317.659
81,81,100592.000,317.162
82,82,99978.000,316.193
83,83,100289.000,316.684
84,84,100569.000,317.126
85,85,100231.000,316.593
86,86,99574.000,315.553
87,87,99961.000,316.166
88,88,101232.000,318.170
89,89,101082.000,317.934
90,90,101450.000,318.512
91,91,101005.000,317.813
92,92,101488.000,318.572
93,93,101397.000,318.429
94,94,102069.000,319.482
95,95,102788.000,320.606
96,96,103157.000,321.181
97,97,102198.000,319.684
98,98,101374.000,318.393
99,99,103362.000,321.500
100,100,103385.000,321.535
101,101,103351.000,321.483
102,102,102004.000,319.381
103,103,102960.000,320.874
104,104,101798.000,319.058
105,105,101879.000,319.185
106,106,102620.000,320.344
107,107,101942.000,319.284
108,108,102150.000,319.609
109,109,101820.000,319.092
110,110,101950.000,319.296
111,111,101529.000,318.636
112,112,101967.000,319.323
113,113,99912.000,316.089
114,114,100248.000,316.620
115,115,99536.000,315.493
116,116,99864.000,316.013
117,117,100062.000,316.326
118,118,99872.000,316.025
119,119,99851.000,315.992
120,120,98725.000,314.205
121,121,99756.000,315.842
122,122,98989.000,314.625
123,123,98725.000,314.205
124,124,98508.000,313.860
125,125,99059.000,314.736
126,126,99048.000,314.719
127,127,98914.000,314.506
128,128,99719.000,315.783
129,129,99177.000,314.924
130,130,98176.000,313.330
131,131,96973.000,311.405
132,132,97803.000,312.735
133,133,98974.000,314.601
134,134,98558.000,313.939
135,135,98819.000,314.355
136,136,98638.000,314.067
137,137,99033.000,314.695
138,138,99642.000,315.661
139,139,100606.000,317.184
140,140,100051.000,316.308
141,141,100411.000,316.877
142,142,101599.000,318.746
143,143,102166.000,319.634
144,144,101783.000,319.034
145,145,102660.000,320.406
146,146,101745.000,318.975
147,147,102767.000,320.573
148,148,101765.000,319.006
149,149,103206.000,321.257
150,150,103693.000,322.014
151,151,104315.000,322.978
152,152,105852.000,325.349
153,153,106933.000,327.006
154,154,107046.000,327.179
155,155,107478.000,327.838
156,156,108302.000,329.093
157,157,109761.000,331.302
158,158,110335.000,332.167
159,159,110808.000,332.878
160,160,112319.000,335.140
161,161,113818.000,337.369
162,162,114841.000,338.882
163,163,115125.000,339.301
164,164,116495.000,341.314
165,165,116085.000,340.712
166,166,118440.000,344.151
167,167,121110.000,348.009
168,168,121013.000,347.869
169,169,121944.000,349.205
170,170,122485.000,349.979
171,171,123268.000,351.095
172,172,124628.000,353.027
173,173,124901.000,353.413
174,174,125450.000,354.189
175,175,126948.000,356.298
176,176,128191.000,358.038
177,177,128562.000,358.555
178,178,131608.000,362.778
179,179,133707.000,365.660
180,180,135419.000,367.993
181,181,137450.000,370.742
182,182,137994.000,371.475
183,183,139080.000,372.934
184,184,140685.000,375.080
185,185,143402.000,378.685
186,186,146265.000,382.446
187,187,147501.000,384.059
188,188,147953.000,384.647
189,189,150194.000,387.549
190,190,150667.000,388.158
191,191,151462.000,389.181
192,192,151965.000,389.827
193,193,154791.000,393.435
194,194,155281.000,394.057
195,195,157722.000,397.142
196,196,157256.000,396.555
197,197,158546.000,398.178
198,198,159451.000,399.313
199,199,161713.000,402.136
200,200,162786.000,403.467
201,201,162127.000,402.650
202,202,165747.000,407.120
203,203,168233.000,410.162
204,204,168011.000,409.891
205,205,168677.000,410.703
206,206,170359.000,412.746
207,207,172701.000,415.573
208,208,172948.000,415.870
209,209,172967.000,415.893
210,210,172603.000,415.455
211,211,173871.000,416.978
212,212,177769.000,421.627
213,213,181548.000,426.084
214,214,183268.000,428.098
215,215,184720.000,429.791
216,216,185032.000,430.153
217,217,186915.000,432.337
218,218,188894.000,434.619
219,219,190532.000,436.500
220,220,190331.000,436.269
221,221,191918.000,438.084
222,222,192507.000,438.756
223,223,192846.000,439.142
224,224,194463.000,440.980
225,225,196712.000,443.522
226,226,198281.000,445.288
227,227,200263.000,447.508
228,228,199800.000,446.990
229,229,200461.000,447.729
230,230,200358.000,447.614
231,231,201086.000,448.426
232,232,200991.000,448.320
233,233,200908.000,448.228
234,234,199855.000,447.051
235,235,199826.000,447.019
236,236,199669.000,446.843
237,237,199112.000,446.220
238,238,199801.000,446.991
239,239,202692.000,450.213
240,240,205991.000,453.862
241,241,205687.000,453.527
242,242,205452.000,453.268
243,243,204107.000,451.782
244,244,205784.000,453.634
245,245,203762.000,451.400
246,246,203274.000,450.859
247,247,203278.000,450.864
248,248,200829.000,448.139
249,249,199584.000,446.748
250,250,196977.000,443.821
251,251,196368.000,443.134
252,252,196945.000,443.785
253,253,194587.000,441.120
254,254,193195.000,439.540
255,255,192748.000,439.031
256,256,196909.000,443.744
257,257,201365.000,448.737
258,258,205121.000,452.903
259,259,209379.000,457.580
260,260,211159.000,459.520
261,261,210836.000,459.169
262,262,209132.000,457.310
263,263,207874.000,455.932
264,264,207543.000,455.569
265,265,204594.000,452.321
266,266,205065.000,452.841
267,267,206737.000,454.683
268,268,206835.000,454.791
269,269,205749.000,453.596
270,270,205314.000,453.116
271,271,204931.000,452.693
272,272,203094.000,450.660
273,273,201460.000,448.843
274,274,199137.000,446.248
275,275,198524.000,445.560
276,276,196105.000,442.837
277,277,193994.000,440.447
278,278,194500.000,441.022
279,279,195688.000,442.366
280,280,196017.000,442.738
281,281,196123.000,442.858
282,282,195285.000,441.911
283,283,194138.000,440.611
284,284,193611.000,440.012
285,285,191432.000,437.529
286,286,189298.000,435.084
287,287,188982.000,434.721
288,288,186121.000,431.417
289,289,185093.000,430.224
290,290,181864.000,426.455
291,291,181551.000,426.088
292,292,181510.000,426.040
293,293,183212.000,428.033
294,294,183975.000,428.923
295,295,184148.000,429.125
296,296,183168.000,427.981
297,297,181208.000,425.685
298,298,180221.000,424.524
299,299,179068.000,423.164
300,300,176977.000,420.686
301,301,175821.000,419.310
302,302,173392.000,416.404
303,303,171384.000,413.986
304,304,170450.000,412.856
305,305,166892.000,408.524
306,306,165403.000,406.698
307,307,166217.000,407.697
308,308,168415.000,410.384
309,309,172130.000,414.886
310,310,174140.000,417.301
311,311,176458.000,420.069
312,312,177497.000,421.304
313,313,175665.000,419.124
314,314,174043.000,417.185
315,315,172780.000,415.668
316,316,171393.000,413.996
317,317,169994.000,412.303
318,318,167719.000,409.535
319,319,166233.000,407.717
320,320,162558.000,403.185
321,321,162190.000,402.728
322,322,159470.000,399.337
323,323,157811.000,397.254
324,324,156068.000,395.054
325,325,152931.000,391.064
326,326,151056.000,388.659
327,327,150136.000,387.474
328,328,150460.000,387.892
329,329,148849.000,385.810
330,330,147650.000,384.253
331,331,146097.000,382.226
332,332,143113.000,378.303
333,333,142225.000,377.127
334,334,140619.000,374.992
335,335,138754.000,372.497
336,336,134964.000,367.374
337,337,133009.000,364.704
338,338,131934.000,363.227
339,339,129959.000,360.498
340,340,128478.000,358.438
341,341,127234.000,356.699
342,342,125173.000,353.798
343,343,123436.000,351.335
344,344,120686.000,347.399
345,345,119392.000,345.531
346,346,117732.000,343.121
347,347,116219.000,340.909
348,348,119081.000,345.081
349,349,124953.000,353.487
350,350,130305.000,360.978
351,351,133951.000,365.993
352,352,136066.000,368.871
353,353,138359.000,371.966
354,354,137871.000,371.310
355,355,139563.000,373.581
356,356,139145.000,373.021
357,357,136660.000,369.676
358,358,136344.000,369.248
359,359,135091.000,367.547
360,360,133441.000,365.296
361,361,131946.000,363.244
362,362,131465.000,362.581
363,363,129601.000,360.001
364,364,128352.000,358.262
365,365,126156.000,355.184
366,366,124624.000,353.021
367,367,123325.000,351.177
368,368,122626.000,350.180
369,369,119667.000,345.929
370,370,118773.000,344.635
371,371,115957.000,340.525
372,372,113603.000,337.050
373,373,112984.000,336.131
374,374,110410.000,332.280
375,375,110486.000,332.394
376,376,109568.000,331.011
377,377,111355.000,333.699
378,378,110540.000,332.476
379,379,110701.000,332.718
380,380,110816.000,332.890
381,381,110613.000,332.585
382,382,108546.000,329.463
383,383,108091.000,328.772
384,384,107492.000,327.860
385,385,106173.000,325.842
386,386,105145.000,324.261
387,387,103665.000,321.970
388,388,102009.000,319.388
389,389,100227.000,316.586
390,390,98747.000,314.240
391,391,98146.000,313.283
392,392,95142.000,308.451
393,393,94645.000,307.644
394,394,93035.000,305.016
395,395,91462.000,302.427
396,396,90109.000,300.182
397,397,89335.000,298.890
398,398,88161.000,296.919
399,399,86345.000,293.845
400,400,85395.000,292.224
401,401,84344.000,290.420
402,402,83766.000,289.424
403,403,82397.000,287.049
404,404,81025.000,284.649
405,405,79286.000,281.578
406,406,78334.000,279.882
407,407,76405.000,276.415
408,408,76418.000,276.438
409,409,75353.000,274.505
410,410,74570.000,273.075
411,411,74307.000,272.593
412,412,75958.000,275.605
413,413,79614.000,282.160
414,414,81129.000,284.832
415,415,83909.000,289.671
416,416,85404.000,292.240
417,417,85672.000,292.698
418,418,85956.000,293.183
419,419,85615.000,292.600
420,420,85666.000,292.688
421,421,84199.000,290.171
422,422,83193.000,288.432
423,423,82733.000,287.633
424,424,81905.000,286.190
425,425,81104.000,284.788
426,426,79870.000,282.613
427,427,78806.000,280.724
428,428,77557.000,278.491
429,429,77376.000,278.165
430,430,76101.000,275.864
431,431,75966.000,275.619
432,432,74103.000,272.219
433,433,73587.000,271.269
434,434,73360.000,270.851
435,435,72269.000,268.829
436,436,71368.000,267.148
437,437,69945.000,264.471
438,438,68673.000,262.055
439,439,68364.000,261.465
440,440,67433.000,259.679
441,441,66117.000,257.132
442,442,65565.000,256.057
443,443,64406.000,253.783
444,444,63890.000,252.765
445,445,62786.000,250.571
446,446,61460.000,247.911
447,447,60866.000,246.710
448,448,60032.000,245.014
449,449,59544.000,244.016
450,450,58562.000,241.996
451,451,57535.000,239.865
452,452,57608.000,240.017
453,453,56093.000,236.840
454,454,54667.000,233.810
455,455,54606.000,233.679
456,456,53010.000,230.239
457,457,52399.000,228.908
458,458,51232.000,226.345
459,459,50289.000,224.252
460,460,51220.000,226.318
461,461,52823.000,229.833
462,462,54458.000,233.362
463,463,55626.000,235.852
464,464,55204.000,234.955
465,465,56239.000,237.148
466,466,55983.000,236.607
467,467,55817.000,236.256
468,468,55292.000,235.143
469,469,53839.000,232.032
470,470,54508.000,233.469
471,471,53269.000,230.801
472,472,53404.000,231.093
473,473,51796.000,227.587
474,474,51589.000,227.132
475,475,50900.000,225.610
476,476,49875.000,223.327
477,477,49123.000,221.637
478,478,47875.000,218.804
479,479,47245.000,217.359
480,480,46556.000,215.768
481,481,46778.000,216.282
482,482,45511.000,213.333
483,483,44971.000,212.064
484,484,44396.000,210.704
485,485,42980.000,207.316
486,486,43451.000,208.449
487,487,41874.000,204.631
488,488,41749.000,204.326
489,489,41696.000,204.196
490,490,40439.000,201.095
491,491,40433.000,201.080
492,492,39319.000,198.290
493,493,38191.000,195.425
494,494,38647.000,196.588
495,495,38247.000,195.568
496,496,37409.000,193.414
497,497,36733.000,191.659
498,498,36840.000,191.937
499,499,36836.000,191.927
500,500,35687.000,188.910
501,501,35119.000,187.401
502,502,34809.000,186.572
503,503,33774.000,183.777
504,504,33615.000,183.344
505,505,33362.000,182.653
506,506,33349.000,182.617
507,507,33385.000,182.716
508,508,32755.000,180.983
509,509,32071.000,179.084
510,510,31521.000,177.542
511,511,31399.000,177.198
512,512,30771.000,175.417
513,513,30179.000,173.721
514,514,29911.000,172.948
515,515,28946.000,170.135
516,516,29231.000,170.971
517,517,28712.000,169.446
518,518,28681.000,169.355
519,519,27858.000,166.907
520,520,28106.000,167.648
521,521,27250.000,165.076
522,522,26996.000,164.305
523,523,26828.000,163.793
524,524,26217.000,161.917
525,525,26153.000,161.719
526,526,25484.000,159.637
527,527,25281.000,159.000
528,528,24740.000,157.290
529,529,24856.000,157.658
530,530,24716.000,157.213
531,531,25916.000,160.984
532,532,28286.000,168.184
533,533,31486.000,177.443
534,534,34309.000,185.227
535,535,36981.000,192.304
536,536,38348.000,195.826
537,537,38890.000,197.205
538,538,40308.000,200.769
539,539,41218.000,203.022
540,540,41006.000,202.499
541,541,40858.000,202.134
542,542,40285.000,200.711
543,543,40593.000,201.477
544,544,40789.000,201.963
545,545,39779.000,199.447
546,546,39477.000,198.688
547,547,39282.000,198.197
548,548,38697.000,196.716
549,549,38521.000,196.268
550,550,37773.000,194.353
551,551,37786.000,194.386
552,552,37722.000,194.222
553,553,36763.000,191.737
554,554,36241.000,190.371
555,555,36200.000,190.263
556,556,36193.000,190.245
557,557,36074.000,189.932
558,558,36164.000,190.168
559,559,34961.000,186.979
560,560,34984.000,187.040
561,561,34832.000,186.633
562,562,34399.000,185.470
563,563,34066.000,184.570
564,564,33815.000,183.889
565,565,33695.000,183.562
566,566,33245.000,182.332
567,567,32853.000,181.254
568,568,32808.000,181.130
569,569,32387.000,179.964
570,570,31491.000,177.457
571,571,31754.000,178.197
572,572,30665.000,175.114
573,573,30130.000,173.580
574,574,30422.000,174.419
575,575,30011.000,173.237
576,576,29869.000,172.827
577,577,29339.000,171.286
578,578,28539.000,168.935
579,579,28974.000,170.218
580,580,28785.000,169.661
581,581,28392.000,168.499
582,582,28114.000,167.672
583,583,27360.000,165.409
584,584,27391.000,165.502
585,585,27599.000,166.129
586,586,26958.000,164.189
587,587,26652.000,163.254
588,588,26421.000,162.545
589,589,26556.000,162.960
590,590,25531.000,159.784
591,591,25211.000,158.780
592,592,25201.000,158.748
