 ,stack,counts,err
1,1,568817.000,754.200
2,2,126321.000,355.417
3,3,99826.000,315.953
4,4,62507.000,250.014
5,5,64338.000,253.649
6,6,55715.000,236.040
7,7,52875.000,229.946
8,8,51212.000,226.301
9,9,48151.000,219.433
10,10,45791.000,213.988
11,11,46369.000,215.335
12,12,45104.000,212.377
13,13,42711.000,206.666
14,14,41849.000,204.570
15,15,33908.000,184.141
16,16,34931.000,186.898
17,17,41313.000,203.256
18,18,41975.000,204.878
19,19,40719.000,201.789
20,20,40768.000,201.911
21,21,40311.000,200.776
22,22,39926.000,199.815
23,23,40197.000,200.492
24,24,39131.000,197.816
25,25,39247.000,198.109
26,26,39379.000,198.441
27,27,39787.000,199.467
28,28,38749.000,196.848
29,29,37704.000,194.175
30,30,38769.000,196.898
31,31,38403.000,195.967
32,32,35603.000,188.688
33,33,36247.000,190.386
34,34,38315.000,195.742
35,35,38168.000,195.366
36,36,38489.000,196.186
37,37,38659.000,196.619
38,38,37477.000,193.590
39,39,37635.000,193.997
40,40,37755.000,194.306
41,41,37374.000,193.324
42,42,37025.000,192.419
43,43,36906.000,192.109
44,44,37158.000,192.764
45,45,37444.000,193.505
46,46,37104.000,192.624
47,47,37254.000,193.013
48,48,36881.000,192.044
49,49,36919.000,192.143
50,50,36835.000,191.924
51,51,36649.000,191.439
52,52,36815.000,191.872
53,53,36936.000,192.187
54,54,36503.000,191.058
55,55,36880.000,192.042
56,56,37010.000,192.380
57,57,37007.000,192.372
58,58,36916.000,192.135
59,59,36526.000,191.118
60,60,36395.000,190.775
61,61,36817.000,191.878
62,62,36757.000,191.721
63,63,35793.000,189.190
64,64,36608.000,191.332
65,65,36237.000,190.360
66,66,36801.000,191.836
67,67,36864.000,192.000
68,68,36556.000,191.196
69,69,37112.000,192.645
70,70,36165.000,190.171
71,71,36866.000,192.005
72,72,36084.000,189.958
73,73,37011.000,192.382
74,74,36625.000,191.377
75,75,36342.000,190.636
76,76,36269.000,190.444
77,77,36725.000,191.638
78,78,36522.000,191.107
79,79,36012.000,189.768
80,80,36889.000,192.065
81,81,36652.000,191.447
82,82,37359.000,193.285
83,83,35895.000,189.460
84,84,36793.000,191.815
85,85,36463.000,190.953
86,86,37072.000,192.541
87,87,37064.000,192.520
88,88,36858.000,191.984
89,89,37270.000,193.054
90,90,36889.000,192.065
91,91,37079.000,192.559
92,92,36781.000,191.784
93,93,36685.000,191.533
94,94,36919.000,192.143
95,95,37527.000,193.719
96,96,37557.000,193.796
97,97,37461.000,193.548
98,98,37409.000,193.414
99,99,37517.000,193.693
100,100,37360.000,193.287
101,101,37449.000,193.517
102,102,38145.000,195.307
103,103,37320.000,193.184
104,104,36948.000,192.219
105,105,37517.000,193.693
