 ,stack,counts,err
1,1,810834.000,900.463
2,2,188244.000,433.871
3,3,148226.000,385.001
4,4,94148.000,306.835
5,5,96016.000,309.864
6,6,83645.000,289.214
7,7,79793.000,282.477
8,8,76726.000,276.995
9,9,72605.000,269.453
10,10,69457.000,263.547
11,11,70865.000,266.205
12,12,68115.000,260.989
13,13,65731.000,256.381
14,14,64726.000,254.413
15,15,53600.000,231.517
16,16,54238.000,232.891
17,17,62774.000,250.547
18,18,62573.000,250.146
19,19,62438.000,249.876
20,20,61790.000,248.576
21,21,60978.000,246.937
22,22,60473.000,245.913
23,23,60553.000,246.075
24,24,60076.000,245.104
25,25,59792.000,244.524
26,26,59781.000,244.502
27,27,59359.000,243.637
28,28,59734.000,244.405
29,29,57948.000,240.724
30,30,58814.000,242.516
31,31,58574.000,242.021
32,32,53899.000,232.162
33,33,55745.000,236.104
34,34,58169.000,241.183
35,35,57679.000,240.165
36,36,57550.000,239.896
37,37,57933.000,240.693
38,38,57537.000,239.869
39,39,57185.000,239.134
40,40,57359.000,239.497
41,41,57360.000,239.499
42,42,56287.000,237.249
43,43,56417.000,237.523
44,44,56937.000,238.615
45,45,57282.000,239.337
46,46,57094.000,238.944
47,47,56559.000,237.821
48,48,56179.000,237.021
49,49,56463.000,237.619
50,50,56672.000,238.059
51,51,55846.000,236.318
52,52,56664.000,238.042
53,53,56849.000,238.430
54,54,55915.000,236.464
55,55,55199.000,234.945
56,56,55898.000,236.428
57,57,56146.000,236.951
58,58,55435.000,235.446
59,59,56029.000,236.704
60,60,55714.000,236.038
61,61,55596.000,235.788
62,62,55781.000,236.180
63,63,55426.000,235.427
64,64,55916.000,236.466
65,65,55758.000,236.131
66,66,55783.000,236.184
67,67,55718.000,236.047
68,68,56272.000,237.217
69,69,56052.000,236.753
70,70,56429.000,237.548
71,71,56320.000,237.318
72,72,56023.000,236.692
73,73,55292.000,235.143
74,74,55805.000,236.231
75,75,55148.000,234.836
76,76,56470.000,237.634
77,77,55853.000,236.332
78,78,55402.000,235.376
79,79,56183.000,237.030
80,80,55602.000,235.801
81,81,55981.000,236.603
82,82,55992.000,236.626
83,83,56061.000,236.772
84,84,55588.000,235.771
85,85,56056.000,236.761
86,86,55718.000,236.047
