 ,stack,counts,err
1,1,3007913.000,1734.334
2,2,905426.000,951.539
3,3,794733.000,891.478
4,4,654475.000,808.996
5,5,640110.000,800.069
6,6,594355.000,770.944
7,7,576111.000,759.020
8,8,555354.000,745.221
9,9,541895.000,736.135
10,10,545606.000,738.651
11,11,542902.000,736.819
12,12,539332.000,734.392
13,13,532086.000,729.442
14,14,528126.000,726.723
15,15,521661.000,722.261
16,16,518289.000,719.923
17,17,513781.000,716.785
18,18,513712.000,716.737
19,19,510661.000,714.605
20,20,507338.000,712.277
21,21,504118.000,710.013
22,22,506253.000,711.515
23,23,502821.000,709.099
24,24,503350.000,709.472
25,25,498356.000,705.943
26,26,500264.000,707.293
27,27,495742.000,704.089
28,28,495704.000,704.062
29,29,489648.000,699.749
30,30,492750.000,701.962
31,31,492937.000,702.095
32,32,493280.000,702.339
33,33,492771.000,701.976
34,34,492706.000,701.930
35,35,490517.000,700.369
36,36,490217.000,700.155
37,37,487834.000,698.451
38,38,488451.000,698.893
39,39,487941.000,698.528
40,40,486930.000,697.804
41,41,483774.000,695.539
42,42,484407.000,695.994
43,43,484401.000,695.989
44,44,484478.000,696.045
45,45,485031.000,696.442
46,46,488448.000,698.891
47,47,485325.000,696.653
48,48,483337.000,695.224
49,49,484008.000,695.707
50,50,485539.000,696.806
51,51,484509.000,696.067
52,52,486466.000,697.471
53,53,487389.000,698.133
54,54,486784.000,697.699
55,55,485146.000,696.524
56,56,484040.000,695.730
57,57,483929.000,695.650
58,58,486716.000,697.650
59,59,486914.000,697.792
60,60,486622.000,697.583
61,61,486385.000,697.413
62,62,489222.000,699.444
63,63,487299.000,698.068
64,64,486810.000,697.718
65,65,486076.000,697.192
66,66,488392.000,698.850
67,67,490993.000,700.709
68,68,492608.000,701.860
69,69,492100.000,701.498
70,70,491757.000,701.254
71,71,491787.000,701.275
72,72,491528.000,701.091
73,73,493171.000,702.261
74,74,492770.000,701.976
75,75,493344.000,702.385
76,76,493184.000,702.271
77,77,493653.000,702.604
78,78,491421.000,701.014
79,79,492681.000,701.912
80,80,493626.000,702.585
81,81,495586.000,703.979
82,82,496143.000,704.374
83,83,496916.000,704.923
84,84,497065.000,705.028
85,85,498998.000,706.398
86,86,499340.000,706.640
87,87,502393.000,708.797
88,88,502856.000,709.123
89,89,504950.000,710.598
90,90,503489.000,709.570
91,91,505942.000,711.296
92,92,506900.000,711.969
93,93,509014.000,713.452
94,94,513156.000,716.349
95,95,514959.000,717.606
96,96,514751.000,717.461
97,97,518946.000,720.379
98,98,519725.000,720.920
99,99,520829.000,721.685
100,100,518452.000,720.036
101,101,522182.000,722.622
102,102,525972.000,725.239
103,103,522326.000,722.721
104,104,520840.000,721.692
105,105,518096.000,719.789
106,106,519458.000,720.734
107,107,520181.000,721.236
108,108,519027.000,720.435
109,109,518122.000,719.807
110,110,519333.000,720.648
111,111,518526.000,720.087
112,112,515953.000,718.299
113,113,515517.000,717.995
114,114,516559.000,718.720
115,115,515764.000,718.167
116,116,517087.000,719.088
117,117,518140.000,719.819
118,118,514782.000,717.483
119,119,513991.000,716.932
120,120,515047.000,717.668
121,121,515941.000,718.290
122,122,516250.000,718.505
123,123,516544.000,718.710
124,124,515472.000,717.964
125,125,515745.000,718.154
126,126,517374.000,719.287
127,127,519579.000,720.818
128,128,518975.000,720.399
129,129,520161.000,721.222
130,130,521751.000,722.323
131,131,520806.000,721.669
132,132,521568.000,722.197
133,133,523484.000,723.522
134,134,521057.000,721.843
135,135,525603.000,724.985
136,136,528960.000,727.296
137,137,531040.000,728.725
138,138,533699.000,730.547
139,139,533235.000,730.229
140,140,540135.000,734.939
141,141,539270.000,734.350
142,142,542475.000,736.529
143,143,544847.000,738.138
144,144,549539.000,741.309
145,145,551799.000,742.832
146,146,555828.000,745.539
147,147,558578.000,747.381
148,148,564516.000,751.343
149,149,568985.000,754.311
150,150,573384.000,757.221
151,151,575310.000,758.492
152,152,580520.000,761.919
153,153,585189.000,764.976
154,154,592440.000,769.701
155,155,595269.000,771.537
156,156,599448.000,774.240
157,157,603361.000,776.763
158,158,610397.000,781.279
159,159,617681.000,785.927
160,160,622028.000,788.688
161,161,627946.000,792.430
162,162,636242.000,797.648
163,163,644390.000,802.739
164,164,649588.000,805.970
165,165,657456.000,810.837
166,166,665280.000,815.647
167,167,670703.000,818.965
168,168,680253.000,824.775
169,169,688836.000,829.961
170,170,700460.000,836.935
171,171,707661.000,841.226
172,172,712950.000,844.364
173,173,723473.000,850.572
174,174,730923.000,854.940
175,175,739500.000,859.942
176,176,749642.000,865.819
177,177,758026.000,870.647
178,178,764460.000,874.334
179,179,773978.000,879.760
180,180,785596.000,886.339
181,181,796832.000,892.654
